Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
666541,1586000,3,-52,255,84
666641,1586000,3,-52,255,84
666742,546000,3,-52,255,84
666845,546000,3,-52,255,84
666946,546000,3,-52,255,84
667046,546000,3,-52,255,84
667147,676000,3,-52,255,84
667248,902000,3,-52,255,84
667349,546000,3,-52,255,84
667450,1248000,3,-52,255,84
667550,1144000,3,-52,255,84
667651,546000,3,-52,255,84
667752,676000,3,-52,255,84
667853,546000,3,-52,255,84
667953,546000,3,-52,255,84
668054,546000,3,-52,255,84
668155,546000,3,-52,255,84
668255,1248000,3,-52,255,84
668356,1482000,3,-52,255,84
668457,1144000,3,-52,255,84
668557,1248000,3,-52,255,84
668658,546000,3,-52,255,84
668759,546000,3,-52,255,84
668860,902000,3,-52,255,84
668961,1586000,3,-52,255,84
669061,676000,3,-52,255,84
669162,902000,3,-52,255,84
669263,1248000,3,-52,255,84
669362,1352000,3,-52,255,84
669463,902000,3,-52,255,84
669564,1248000,3,-52,255,84
